M:	and, uh, i think they're spending a lot of time with them.
A:	uh-huh.
M:	and, uh, we don't really know what they are.
A:	no.
M:	okay.
A:	yeah, we, we've been married for two and a half years. we've been trying for about two years but no luck yet.
M:	uh-oh.
A:	hopefully,
M:	oh, well.
A:	uh-huh.
M:	i, i, i can't think of anything else.
A:	whispers to someone in the she had another call. she has just three kids, eleven, nine, and eight.
M:	oh, really?
A:	uh-huh.
M:	hi.
A:	all right.
M:	um, i think we have to talk about what kind of recycling. do you have any, uh, ideas on what you would do to improve it?
A:	okay. that keeps you do you have a lot of activities with your kids?
M:	oh, yes, very much.
A:	uh-huh.
M:	and we have a two year old and a three year old.
A:	uh-huh. so they're pretty good kids, huh?
M:	yeah.
A:	yeah. well, we had growing up i guess i can talk about us. we had nine kids in our family. we had eight boys and one girl. but, my dad, uh,
M:	uh, i was going to say, i have two girls and my sister,
A:	yeah. and the time that my, we spent with our dad was, he owned his own business so we worked with him most of the time. so that's how we spent most of the time with him.
M:	oh, how neat.
A:	yeah.
M:	"!!!%!! translated!! translate!! line!!body!!two!! remindme!! translation!! body!! this!!sv!!xt!! it!!it!!this!!et!! trans!!ety!!and!!that!! the!!we!!you!!i!!they!!okay!!but!!what!!?!!!,!!so!!oh!!did!!have!!see!!is!!uh!!te!!me!you?!??!you're!!well!!the!!yeah!!est!!it!!all!!good!!.!!same!!;!!eting!! wild!! continues!! auto!!thanks!! formatting!!p!!s!!ex!! weather!!do!! wished!! animation!!to!!box!! exists!! element!!o!!style!!work!!>!!there!!huh!!nice!!great!! nato!!!:!!thank!! another!!iv!!ape!!ido!!now!!alright!!hey!!how!!are!!one!!two!!ctic!!go!!wow!!because!!isn!!who!!wh!!and!!=!!hi!! ab!!l!!range!!irt!!ival!! margaret!!why!!in!!able!!by!!!.!!ork!!a!!!'!!if!!'!! safely!! tokyo!!let!!you!!my!!enjoy!!place!!ets!!work!!!"",!!book!!)!!!ual!!ist!!sometimes!!ial!!%%!! fun!! equality!!!!!iev!!ial!! mal!!orial!!ness!!aken!!list!!!]!!iveness!!if!! relations!!roup!!husband!!itudes!!atic!!ty!! decor!! set!!en!! this!! unless!!eways!! your!! <!! get!!ful!!<!! white!!irling!!2017!! =!! hitler!!pieces!!red!! bor!! gram!!as!!enton!!!!!!! thank!!aving!! lover!!ions!!finally!!ments!! bent!! love!!atter!!lt!!hesis!!ivan!! aut!! ordinary!! undo!!"
A:	that was a dead giveaway, huh?
M:	but, uh, yeah, i really liked it.
A:	uh-huh.
M:	and my father was always the type of guy who would take his guns with him and shoot them all up.
A:	oh.
M:	and, uh, my, my sister and i are both, uh...
A:	which that,
M:	oh, yeah.
A:	i was going to say, my sister wasn't spoiled very much.
M:	no, i don't think so.
A:	yeah, that's . but,
M:	and, uh, you know, i think that's one thing that i, i, you, you have to question about, uh.
A:	uh-huh.
M:	there's a lot of things that parents can do to help their kids.
A:	oh.
M:	and, uh, i was just recently visiting a, um a, a preschool that's just outside of pittsburgh.
A:	yeah. uh-huh.
M:	and, uh.
A:	uh-huh.
M:	i didn't want to have to work.
A:	uh-huh.
M:	and i think that that's one of the things that's keeping women in the home
A:	yeah. it's like you said, you know, to each his own. and we're planning on having my wife stay home. and but,
M:	i, i would think that would be a good thing to do.
A:	uh-huh.
M:	and, uh, she's, she does it because she feels like she's getting something out of it and she's doing it for the community and for her family.
A:	yeah.
M:	but, uh, i'm not sure that, that, uh that, you have to be, uh...
A:	uh-huh.
M:	but i, i think it's a wonderful thing that we have come a long way and, and i, you know, i'm not, i don't think, i wouldn't want to work right now if i had to work.
A:	right.
M:	and i think it's important to have children.
A:	oh. uh-huh.
M:	and i, i think that's what brought us to where we're not doing a lot of things.
A:	uh-huh.
M:	and i think that there are, there are some good, um things in the system that we could do, but i think there's, i think they're not as, um...
A:	uh-huh.
M:	and i think that that's a big part of it.
A:	well, that's good. sounds like you're, have a handle on it.
M:	yeah, i'm trying to, i've been trying to get my little girl to, uh, school and i'm just, i don't know, i, i was just thinking of, i thought, you know, a couple of days ago, i talked to a lady that was in a high school, and she said, well, she, she's going to school. and, uh.
A:	um, no, not right now.
M:	oh, okay.
A:	right. well, we just moved down here. we used to live up in seattle for a couple of years.
M:	uh-huh.
A:	it's that's no problem here. yeah, we really liked it up there but then
