,Word,Count
0,right,35
1,left,11
2,'m,11
3,going,10
4,straight,8
5,stone,8
6,map,8
7,got,8
8,want,7
9,far,7
10,yeah,7
11,fort,7
12,turn,6
13,gold,6
14,creek,6
15,past,6
16,'s,6
17,'ve,6
18,cross,5
19,bit,5
20,diamond,5
21,okay,5
22,inches,5
23,n't,5
24,come,5
25,bar,5
26,rift,4
27,ravine,4
28,page,4
29,thing,4
30,avalanche,4
31,tree,4
32,end,4
33,pine,4
34,fast,4
35,line,4
36,'re,4
37,flat,4
38,south,4
39,river,4
40,know,4
41,trout,3
42,hideout,3
43,valley,3
44,pyramid,3
45,mountain,3
46,edge,3
47,old,3
48,town,3
49,crane,3
50,ghost,3
51,boat,3
52,cactus,3
53,pole,3
54,corner,3
55,lake,3
56,forge,3
57,draw,2
58,hot,2
59,bay,2
60,level,2
61,rocket,2
62,nose,2
63,yes,2
64,warehouse,2
65,rope,2
66,round,2
67,bridge,2
68,east,2
69,city,2
70,ehm,2
71,camp,2
72,oh,2
73,truck,2
74,cattle,2
75,meadow,2
76,lighthouse,2
77,aye,2
78,forest,2
79,gone,2
80,maps,2
81,face,2
82,abandoned,2
83,trig,2
84,house,2
85,like,2
86,think,2
87,stop,2
88,temple,2
89,fallen,2
90,heading,2
91,west,2
92,mean,2
93,village,2
94,touching,1
95,curve,1
96,rock,1
97,hit,1
98,grove,1
99,remote,1
100,washed,1
101,cottage,1
102,monument,1
103,buffalo,1
104,pass,1
105,north,1
106,pillars,1
107,antelopes,1
108,caravan,1
109,carved,1
110,test,1
111,coming,1
112,way,1
113,flagship,1
114,stones,1
115,finish,1
116,phoar,1
117,description,1
118,noose,1
119,rapids,1
120,'ll,1
121,wheel,1
122,wagon,1
123,avoid,1
124,supposed,1
125,moment,1
126,wooden,1
127,drawn,1
128,site,1
129,farm,1
130,rocks,1
131,walk,1
132,banana,1
133,standing,1
134,steps,1
135,apache,1
136,canoe,1
137,vertically,1
138,road,1
139,canal,1
140,verstanden,1
141,nae,1
142,different,1
143,fenced,1
144,points,1
145,country,1
