,Word,Count
0,the,978
1,i,603
2,you,536
3,a,412
4,to,395
5,?,386
6,",",310
7,do,298
8,I,290
9,right,284
10,it,280
11,'m,205
12,of,205
13,have,202
14,and,195
15,is,194
16,.,189
17,go,186
18,'s,175
19,that,162
20,in,157
21,what,155
22,just,131
23,not,130
24,n't,126
25,on,115
26,know,102
27,but,101
28,can,98
29,left,97
30,'ll,95
31,'re,91
32,up,90
33,how,86
34,then,84
35,there,84
36,where,83
37,think,83
38,get,83
39,are,80
40,so,76
41,mean,76
42,going,72
43,be,66
44,no,63
45,yeah,62
46,yes,59
47,sure,57
48,ok,56
49,am,56
50,down,55
51,now,53
52,side,53
53,way,48
54,want,47
55,ca,47
56,one,45
57,see,45
58,bottom,45
59,oh,44
60,about,43
61,top,43
62,map,42
63,for,39
64,...,39
65,nt,39
66,line,36
67,okay,35
68,far,35
69,me,34
70,if,34
71,at,32
72,east,31
73,'ve,31
74,this,30
75,my,30
76,back,30
77,got,30
78,like,29
79,bit,29
80,u,28
81,tree,27
82,You,26
83,little,25
84,turn,25
85,rock,24
86,with,23
87,middle,23
88,above,23
89,did,22
90,say,21
91,north,21
92,try,21
93,other,20
94,good,20
95,come,20
96,from,20
97,they,20
98,pretty,20
99,was,20
100,around,20
101,gon,19
102,na,19
103,its,19
104,curve,19
105,stone,19
106,end,18
107,mountain,18
108,we,18
109,south,17
110,s,17
111,straight,17
112,thing,17
113,water,17
114,river,17
115,diamond,17
116,sorry,17
117,lake,16
118,corner,16
119,need,16
120,start,15
121,page,15
122,your,15
123,still,15
124,house,15
125,ravines,15
126,m,15
127,hand,14
128,over,14
129,as,14
130,well,14
131,creek,14
132,draw,14
133,fort,14
134,bay,14
135,same,14
136,been,14
137,boat,13
138,them,13
139,yea,13
140,circle,13
141,out,13
142,too,13
143,should,12
144,any,12
145,doing,12
146,wrong,12
147,bridge,12
148,forest,12
149,flat,12
150,anything,12
151,more,12
152,What,12
153,make,12
154,away,12
155,best,11
156,take,11
157,rift,11
158,idea,11
159,pyramid,11
160,through,11
161,huh,11
162,new,11
163,stop,11
164,temple,11
165,bar,10
166,hill,10
167,talking,10
168,hideout,10
169,under,10
170,he,10
171,old,10
172,It,10
173,or,10
174,would,10
175,again,10
176,few,10
177,fine,10
178,first,10
179,will,9
180,when,9
181,coming,9
182,all,9
183,past,9
184,village,9
185,really,9
186,How,9
187,forge,9
188,build,9
189,The,9
190,meant,9
191,by,9
192,caravan,8
193,here,8
194,keep,8
195,picture,8
196,wanna,8
197,ravine,8
198,Where,8
199,gold,8
200,pass,8
201,wall,8
202,pine,8
203,crane,8
204,place,8
205,edge,8
206,lot,8
207,could,8
208,rocket,8
209,uhh,8
210,guess,7
211,valley,7
212,trying,7
213,below,7
214,supposed,7
215,truck,7
216,inches,7
217,look,7
218,remote,7
219,fallen,7
220,finish,7
221,graveyard,7
222,joke,7
223,an,7
224,only,7
225,tell,7
226,2,7
227,between,7
228,mining,6
229,which,6
230,big,6
231,meadow,6
232,along,6
233,looking,6
234,mine,6
235,part,6
236,ground,6
237,road,6
238,aye,6
239,uh,6
240,done,6
241,area,6
242,ahead,6
243,cross,6
244,rope,6
245,antelope,6
246,two,6
247,confused,6
248,trade,6
249,help,6
250,than,6
251,level,6
252,hit,6
253,uhhh,6
254,point,6
255,abandoned,6
256,walk,6
257,!,6
258,opposite,6
259,Do,6
260,hard,5
261,find,5
262,understand,5
263,white,5
264,move,5
265,lighthouse,5
266,small,5
267,shelter,5
268,found,5
269,ocean,5
270,west,5
271,hours,5
272,goes,5
273,ohh,5
274,means,5
275,nice,5
276,standing,5
277,something,5
278,pillars,5
279,into,5
280,cave,5
281,mines,5
282,while,5
283,farm,5
284,whole,5
285,stones,5
286,canoe,5
287,red,5
288,welcome,5
289,very,5
290,cliff,5
291,pole,5
292,stuck,5
293,uuhh,4
294,spot,4
295,rocks,4
296,use,4
297,canoes,4
298,compass,4
299,round,4
300,problem,4
301,put,4
302,hidden,4
303,drawing,4
304,further,4
305,base,4
306,has,4
307,were,4
308,last,4
309,wooden,4
310,cattle,4
311,man,4
312,long,4
313,said,4
314,fast,4
315,running,4
316,time,4
317,name,4
318,uhuh,4
319,goldmine,4
320,beach,4
321,probably,4
322,secret,4
323,who,4
324,different,4
325,wait,4
326,car,4
327,alright,4
328,saying,4
329,second,4
330,steps,4
331,lost,4
332,till,4
333,Right,4
334,town,4
335,getting,4
336,ghost,4
337,people,4
338,gone,4
339,lie,4
340,next,4
341,camp,4
342,before,4
343,steep,4
344,face,4
345,buffalo,4
346,torch,3
347,moving,3
348,leave,3
349,drawn,3
350,ill,3
351,saloons,3
352,remember,3
353,slope,3
354,pillar,3
355,able,3
356,foot,3
357,comes,3
358,waterfall,3
359,'d,3
360,black,3
361,building,3
362,across,3
363,maps,3
364,cabin,3
365,door,3
366,ehm,3
367,handed,3
368,gazelle,3
369,many,3
370,called,3
371,head,3
372,missing,3
373,screen,3
374,mind,3
375,fenced,3
376,even,3
377,some,3
378,give,3
379,touching,3
380,check,3
381,later,3
382,And,3
383,ship,3
384, ,3
385,wheatfield,3
386,totem,3
387,looks,3
388,canal,3
389,blue,3
390,bakery,3
391,trig,3
392,wheat,3
393,paper,3
394,cliffs,3
395,guessing,3
396,Left,3
397,let,3
398,uhuhuh,3
399,So,3
400,Mmmhmmm,3
401,final,3
402,uhhuh,3
403,seen,3
404,hot,3
405,fan,3
406,work,3
407,does,3
408,avalanche,3
409,palm,3
410,diamonds,3
411,coconut,3
412,hundred,3
413,huhuh,3
414,heading,3
415,horse,3
416,concealed,3
417,cottage,3
418,roof,3
419,trees,3
420,live,3
421,couple,3
422,guy,3
423,burnt,3
424,ones,3
425,minute,3
426,meet,3
427,weird,2
428,coast,2
429,higher,2
430,god,2
431,carry,2
432,pic,2
433,ore,2
434,thought,2
435,anymore,2
436,There,2
437,5,2
438,huge,2
439,hole,2
440,hide,2
441,much,2
442,sword,2
443,cool,2
444,washed,2
445,carved,2
446,happens,2
447,their,2
448,hear,2
449,park,2
450,follow,2
451,video,2
452,Why,2
453,beefy,2
454,another,2
455,rapids,2
456,trout,2
457,great,2
458,angle,2
459,Uhh,2
460,stuff,2
461,careful,2
462,avoid,2
463,knee,2
464,fiddy,2
465,streets,2
466,warehouse,2
467,because,2
468,Village,2
469,vent,2
470,pines,2
471,air,2
472,Ugh,2
473,close,2
474,being,2
475,always,2
476,cobbled,2
477,nods,2
478,rifts,2
479,course,2
480,Is,2
481,mmmhmmm,2
482,walks,2
483,mountains,2
484,towards,2
485,told,2
486,outside,2
487,pokemon,2
488,step,2
489,ay,2
490,sign,2
491,backwards,2
492,block,2
493,description,2
494,sir,2
495,late,2
496,certain,2
497,join,2
498,banana,2
499,favorite,2
500,came,2
501,player,2
502,falls,2
503,hills,2
504,original,2
505,already,2
506,bend,2
507,umm,2
508,creeper,2
509,ruin,2
510,nose,2
511,ancient,2
512,caught,2
513,text,2
514,Go,2
515,meow,2
516,field,2
517,length,2
518,until,2
519,Oh,2
520,Until,2
