,Word,Count
0,the,978
1,i,603
2,you,536
3,a,412
4,to,395
5,do,298
6,it,280
7,of,205
8,have,202
9,and,195
10,is,194
11,go,186
12,that,162
13,in,157
14,what,155
15,just,131
16,not,130
17,on,115
18,but,101
19,can,98
20,up,90
21,how,86
22,there,84
23,then,84
24,where,83
25,get,83
26,are,80
27,so,76
28,be,66
29,no,63
30,am,56
31,down,55
32,now,53
33,side,53
34,ca,47
35,one,45
36,bottom,45
37,see,45
38,top,43
39,about,43
40,for,39
41,if,34
42,me,34
43,at,32
44,my,30
45,this,30
46,back,30
47,above,23
48,with,23
49,did,22
50,say,21
51,around,20
52,was,20
53,other,20
54,from,20
55,they,20
56,its,19
57,we,18
58,your,15
59,still,15
60,been,14
61,well,14
62,over,14
63,same,14
64,as,14
65,them,13
66,too,13
67,out,13
68,more,12
69,anything,12
70,any,12
71,doing,12
72,make,12
73,should,12
74,through,11
75,take,11
76,would,10
77,first,10
78,or,10
79,again,10
80,he,10
81,under,10
82,few,10
83,really,9
84,all,9
85,when,9
86,will,9
87,by,9
88,could,8
89,here,8
90,keep,8
91,an,7
92,only,7
93,between,7
94,below,7
95,than,6
96,done,6
97,part,6
98,two,6
99,which,6
100,mine,6
101,along,6
102,whole,5
103,something,5
104,move,5
105,into,5
106,very,5
107,while,5
108,last,4
109,further,4
110,put,4
111,has,4
112,before,4
113,were,4
114,name,4
115,who,4
116,next,4
117,many,3
118,some,3
119,across,3
120,give,3
121,hundred,3
122,does,3
123,even,3
124,another,2
125,quite,2
126,being,2
127,towards,2
128,also,2
129,because,2
130,until,2
131,always,2
132,their,2
133,much,2
134,had,2
135,re,2
136,might,2
137,made,2
138,almost,2
139,alone,2
140,ever,2
141,already,2
142,three,1
143,own,1
144,without,1
145,sixty,1
146,several,1
147,his,1
148,toward,1
149,why,1
150,yourself,1
151,those,1
152,nothing,1
153,front,1
154,anyone,1
155,though,1
156,else,1
157,everything,1
158,show,1
159,enough,1
160,please,1
161,less,1
162,each,1
163,call,1
