,Word,Conc.M
0,the,1.43
2,you,4.11
3,a,1.46
4,to,1.55
7,do,2.46
8,right,3.47
9,it,2.81
11,of,1.67
12,have,2.18
13,and,1.52
14,is,1.59
16,go,3.15
18,that,1.54
19,in,3.0
20,what,2.0
21,just,1.52
22,not,2.08
24,on,3.25
25,know,1.68
26,but,2.04
27,can,4.55
28,left,3.7
31,up,3.83
32,how,1.35
33,then,1.44
34,there,2.2
35,where,1.66
36,think,2.41
37,get,2.38
38,are,1.96
39,so,1.42
40,mean,2.5
41,going,2.69
42,be,1.85
43,no,2.45
44,yeah,1.89
45,yes,2.14
46,sure,1.73
47,ok,2.11
48,am,1.96
49,down,3.52
50,now,1.48
51,side,3.68
52,way,2.34
53,want,1.93
55,one,3.97
56,see,3.21
57,bottom,4.25
58,oh,1.48
59,about,1.77
60,top,3.93
61,map,4.93
62,for,1.63
65,line,4.5
66,okay,1.89
67,far,2.71
68,me,4.33
69,if,1.19
70,at,2.07
71,east,3.04
73,this,2.14
74,my,2.42
75,back,4.33
76,got,1.93
77,like,1.89
78,bit,3.27
80,tree,5.0
81,little,3.67
82,turn,3.44
83,rock,4.91
84,with,2.0
85,middle,3.69
86,above,3.33
87,did,2.45
88,say,2.58
89,north,4.14
90,try,2.22
91,other,2.04
92,good,1.64
93,come,2.72
94,from,1.84
95,they,2.93
96,pretty,2.4
97,was,1.69
98,around,1.96
101,its,1.9
102,curve,4.41
103,stone,4.72
104,end,3.14
105,mountain,4.96
106,we,3.08
107,south,3.84
109,straight,2.76
110,thing,3.17
111,water,5.0
112,river,4.89
113,diamond,4.89
114,sorry,1.9
115,lake,4.88
116,corner,4.61
117,need,1.69
118,start,2.71
119,page,4.9
120,your,2.37
121,still,3.46
122,house,5.0
125,hand,4.72
126,over,2.46
127,as,1.33
128,well,3.33
129,creek,4.87
130,draw,3.97
131,fort,4.72
132,bay,4.81
133,same,2.64
134,been,1.92
135,boat,4.93
136,them,3.04
138,circle,4.44
139,out,2.73
140,too,1.7
141,should,1.53
142,any,1.72
143,doing,2.66
144,wrong,1.83
145,bridge,4.97
146,forest,4.76
147,flat,4.07
148,anything,1.38
149,more,2.37
150,make,2.67
151,away,2.23
152,best,1.6
153,take,3.06
154,rift,3.4
155,idea,1.61
156,pyramid,4.96
157,through,2.9
158,huh,1.68
159,new,2.81
160,stop,3.68
161,temple,4.53
162,bar,4.67
163,hill,4.93
164,talking,3.72
165,hideout,3.83
166,under,3.45
167,he,3.93
168,old,2.72
169,or,1.72
170,would,1.12
171,again,2.0
172,few,2.48
173,fine,2.61
174,first,2.76
175,will,2.64
176,when,1.6
177,coming,2.07
178,all,2.27
179,past,1.7
180,village,4.89
181,really,1.44
182,forge,4.04
183,build,3.71
184,meant,1.5
185,by,1.55
186,caravan,4.37
187,here,3.13
188,keep,2.37
189,picture,4.52
191,ravine,4.61
192,gold,4.81
193,pass,2.71
194,wall,4.86
195,pine,4.37
196,crane,4.68
197,place,3.48
198,edge,4.24
199,lot,3.7
200,could,1.34
201,rocket,4.73
203,guess,2.28
204,valley,4.72
205,trying,2.11
206,below,3.45
207,supposed,1.6
208,truck,4.84
210,look,2.96
211,remote,3.44
212,fallen,3.53
213,finish,2.89
214,graveyard,4.83
215,joke,2.9
216,an,1.46
217,only,2.41
218,tell,2.9
220,between,2.72
221,mining,4.03
222,which,1.54
223,big,3.66
224,meadow,4.86
225,along,2.14
226,looking,3.53
227,mine,3.56
228,part,3.29
229,ground,4.77
230,road,4.75
231,aye,2.09
233,done,2.0
234,area,3.72
235,ahead,3.0
236,cross,4.44
237,rope,4.93
238,antelope,5.0
239,two,4.18
240,confused,2.33
241,trade,3.08
242,help,2.56
243,than,1.69
244,level,2.86
245,hit,4.11
247,point,3.39
248,abandoned,2.52
249,walk,4.07
251,opposite,1.79
252,hard,3.76
253,find,2.63
254,understand,2.28
255,white,3.89
256,move,3.25
257,lighthouse,4.96
258,small,3.22
259,shelter,4.64
260,found,2.53
261,ocean,4.86
262,west,3.44
264,goes,2.19
266,means,1.93
267,nice,2.18
268,standing,4.04
269,something,1.82
271,into,2.3
272,cave,4.96
273,mines,4.7
274,while,1.55
275,farm,4.59
276,whole,3.25
278,canoe,4.86
279,red,4.24
280,welcome,2.07
281,very,1.43
282,cliff,4.71
283,pole,4.66
284,stuck,3.55
286,spot,4.21
288,use,2.78
290,compass,4.66
291,round,3.9
292,problem,2.68
293,put,2.5
294,hidden,3.04
295,drawing,4.6
296,further,1.88
297,base,3.86
299,were,1.48
300,last,3.04
301,wooden,4.61
302,cattle,4.64
303,man,4.79
304,long,3.18
305,said,2.97
306,fast,3.32
307,running,4.27
308,time,3.07
309,name,3.5
311,goldmine,3.8
312,beach,4.79
313,probably,1.73
314,secret,2.19
315,who,1.74
316,different,1.97
317,wait,2.68
318,car,4.89
319,alright,1.93
320,saying,2.58
321,second,3.3
322,steps,4.39
323,lost,2.67
324,till,4.0
325,town,4.64
326,getting,2.07
327,ghost,3.19
328,people,4.82
329,gone,2.04
330,lie,3.11
331,next,2.56
332,camp,4.35
333,before,1.96
334,steep,3.76
335,face,4.87
336,buffalo,4.83
337,torch,4.76
338,moving,3.82
339,leave,2.53
340,drawn,2.79
341,ill,3.21
343,remember,2.41
344,slope,4.07
345,pillar,4.77
346,able,2.38
347,foot,4.9
348,comes,2.27
349,waterfall,4.9
351,black,3.76
352,building,4.64
353,across,3.07
355,cabin,4.92
356,door,4.81
358,handed,3.26
359,gazelle,4.72
360,many,2.37
362,head,4.75
363,missing,2.57
364,screen,4.6
365,mind,2.5
367,even,2.79
368,some,2.48
369,give,2.83
370,touching,3.43
371,check,4.11
372,later,1.8
373,ship,4.87
376,totem,4.0
377,looks,2.7
378,canal,4.68
379,blue,3.76
380,bakery,4.83
382,wheat,4.89
383,paper,4.93
385,guessing,2.85
386,let,2.26
389,final,2.67
391,seen,2.96
392,hot,4.31
393,fan,4.71
394,work,3.48
395,does,2.24
396,avalanche,4.32
397,palm,4.83
399,coconut,4.79
400,hundred,3.2
402,heading,3.1
403,horse,5.0
404,concealed,2.43
405,cottage,4.85
406,roof,4.79
408,live,3.57
409,couple,3.93
410,guy,4.68
411,burnt,3.93
413,minute,3.04
414,meet,3.0
415,weird,1.59
416,coast,4.21
417,higher,2.93
418,god,2.07
419,carry,4.04
421,ore,4.48
422,thought,1.97
423,anymore,2.04
425,huge,3.54
426,hole,4.81
427,hide,3.21
428,much,1.69
429,sword,4.93
430,cool,3.53
431,washed,4.0
434,their,3.34
435,hear,3.66
436,park,4.74
437,follow,3.26
438,video,4.67
439,why,1.86
440,beefy,3.19
441,another,2.69
443,trout,4.72
444,great,1.81
445,angle,3.5
446,stuff,3.13
447,careful,1.86
448,avoid,2.41
449,knee,5.0
451,streets,4.77
452,warehouse,4.69
453,because,1.22
454,vent,4.56
456,air,4.11
457,ugh,1.72
458,close,3.2
459,being,1.93
460,always,1.71
464,course,3.82
467,towards,2.79
468,told,2.31
469,outside,4.25
471,step,4.54
473,sign,4.62
474,backwards,3.17
475,block,4.48
476,description,2.43
477,sir,3.1
478,late,2.6
479,certain,1.68
480,join,2.86
481,banana,5.0
482,favorite,2.71
483,came,1.85
484,player,4.15
487,original,2.07
488,already,1.64
489,bend,3.88
491,creeper,3.48
492,ruin,2.59
493,nose,4.89
494,ancient,2.04
495,caught,3.27
496,text,4.93
497,meow,3.92
498,field,4.26
499,length,4.07
500,until,1.33
502,complicated,2.21
504,wondering,2.07
505,quite,1.72
506,portal,3.63
510,fire,4.68
512,finished,2.78
513,also,1.83
514,high,3.46
515,room,4.79
516,city,4.79
519,world,4.36
520,almost,1.66
522,agree,2.31
523,roundabout,3.86
525,game,4.5
527,might,2.32
528,love,2.07
529,giant,4.3
530,waiting,2.7
531,made,2.52
532,location,3.0
533,cow,4.96
534,salon,4.73
535,ready,2.07
536,aware,2.0
537,shot,4.44
539,ever,1.48
540,feeling,1.68
541,wagon,4.89
544,difference,2.15
546,had,1.77
547,cactus,5.0
548,alone,2.86
549,center,3.85
550,exactly,2.11
551,bad,1.68
552,fun,1.97
554,quick,2.89
555,near,2.79
556,slow,3.28
557,buy,3.35
558,specific,2.18
559,soft,3.88
560,thread,4.83
561,wood,4.85
562,redwood,4.96
567,gun,4.83
568,shaped,2.56
569,finding,2.89
570,position,2.62
571,helping,2.53
572,linked,3.36
573,parking,3.85
575,fall,4.04
576,each,2.03
578,settlement,3.07
580,carve,3.69
581,thirsty,3.86
582,stand,4.16
583,sharp,3.86
584,border,4.29
585,teach,3.15
589,plaza,4.44
590,ride,3.75
591,assume,1.75
592,gotten,2.61
593,ranch,4.73
594,list,4.43
595,safari,4.14
596,milk,4.92
597,kitchen,4.97
598,answer,2.89
599,living,3.04
