,Word,Count
0,the,303
1,of,74
2,to,65
3,a,54
4,go,36
5,and,32
6,down,29
7,then,25
8,below,23
9,it,22
10,have,21
11,just,21
12,you,20
13,do,20
14,at,18
15,side,18
16,top,17
17,up,16
18,no,16
19,above,15
20,that,15
21,in,14
22,i,14
23,so,13
24,from,12
25,over,11
26,bottom,11
27,two,10
28,along,10
29,on,9
30,well,8
31,through,8
32,mine,8
33,back,8
34,an,7
35,about,7
36,my,7
37,there,6
38,is,6
39,where,5
40,out,5
41,them,5
42,under,5
43,now,4
44,towards,4
45,keep,4
46,what,4
47,between,4
48,as,4
49,across,4
50,again,3
51,three,3
52,are,3
53,see,3
54,with,3
55,but,3
56,its,2
57,be,2
58,one,2
59,not,2
60,until,2
61,should,2
62,if,2
63,next,2
64,your,2
65,always,2
66,this,1
67,same,1
68,five,1
69,had,1
70,which,1
71,around,1
72,before,1
73,sixty,1
74,hundred,1
75,ten,1
76,anyway,1
77,all,1
78,after,1
79,enough,1
80,very,1
81,else,1
82,or,1
83,how,1
