,Word,Count
0,the,1289
1,you,668
2,to,449
3,i,355
4,and,352
5,of,347
6,a,345
7,go,254
8,it,240
9,that,223
10,do,201
11,just,200
12,have,190
13,down,188
14,so,180
15,then,172
16,no,162
17,up,130
18,about,115
19,in,112
20,below,96
21,well,95
22,at,95
23,is,92
24,there,90
25,your,89
26,on,88
27,side,87
28,but,84
29,above,84
30,now,73
31,where,73
32,from,69
33,top,64
34,along,58
35,be,57
36,an,55
37,or,52
38,two,49
39,until,46
40,what,45
41,not,44
42,bottom,44
43,see,42
44,if,41
45,mine,38
46,over,38
47,between,37
48,towards,36
49,should,35
50,as,33
51,back,32
52,with,29
53,my,29
54,are,28
55,again,28
56,get,27
57,under,26
58,them,26
59,across,26
60,through,25
61,how,23
62,this,22
63,take,21
64,three,20
65,which,20
66,out,18
67,keep,18
68,all,18
69,we,16
70,one,15
71,more,15
72,anything,15
73,other,15
74,am,14
75,me,14
76,four,14
77,due,13
78,for,13
79,before,13
80,when,13
81,same,12
82,further,11
83,would,11
84,by,11
85,beside,10
86,move,10
87,say,10
88,can,10
89,another,10
90,was,9
91,they,9
92,very,9
93,after,9
94,its,9
95,into,9
96,once,8
97,next,8
98,quite,8
99,still,8
100,almost,7
101,done,7
102,five,7
103,any,7
104,less,7
105,anyway,7
106,around,6
107,first,6
108,than,6
109,much,5
110,here,5
111,does,5
112,nothing,5
113,make,5
114,something,5
115,always,5
116,had,5
117,enough,5
118,were,5
119,off,4
120,hundred,4
121,will,4
122,been,4
123,front,4
124,though,4
125,must,4
126,else,4
127,forty,4
128,doing,3
129,because,3
130,why,3
131,really,3
132,never,3
133,beyond,2
134,sixty,2
135,yet,2
136,could,2
137,some,2
138,those,2
139,six,2
140,ten,2
141,only,2
142,without,2
143,since,1
144,put,1
145,their,1
146,itself,1
147,yours,1
148,somehow,1
149,these,1
150,third,1
151,also,1
152,made,1
153,many,1
154,did,1
155,last,1
156,ca,1
157,nor,1
158,neither,1
159,nowhere,1
160,whatever,1
161,us,1
162,onto,1
163,he,1
164,least,1
165,otherwise,1
166,part,1
167,yourself,1
168,too,1
169,being,1
170,anywhere,1
