,Word,Conc.M
0,the,1.43
1,right,3.47
2,you,4.11
3,to,1.55
5,and,1.52
6,of,1.67
7,a,1.46
9,go,3.15
10,okay,1.89
11,it,2.81
12,that,1.54
13,do,2.46
14,just,1.52
16,have,2.18
17,down,3.52
18,so,1.42
19,huh,1.68
21,left,3.7
22,then,1.44
23,no,2.45
25,yeah,1.89
26,got,1.93
27,up,3.83
28,about,1.77
30,in,3.0
33,going,2.69
34,below,3.45
35,at,2.07
36,well,3.33
37,is,1.59
38,there,2.2
39,your,2.37
40,on,3.25
41,side,3.68
42,above,3.33
43,but,2.04
45,straight,2.76
46,now,1.48
47,where,1.66
48,from,1.84
50,line,4.5
51,hand,4.72
52,like,1.89
53,come,2.72
54,top,3.93
55,round,3.9
56,along,2.14
57,pine,4.37
58,be,1.85
59,underneath,3.71
60,an,1.46
61,or,1.72
62,past,1.7
63,two,4.18
64,bit,3.27
65,want,1.93
67,until,1.33
68,what,2.0
69,sort,3.34
70,not,2.08
71,curve,4.41
72,bottom,4.25
73,page,4.9
74,yes,2.14
75,see,3.21
76,know,1.68
78,if,1.19
79,turn,3.44
80,map,4.93
81,cottage,4.85
82,over,2.46
83,oh,1.48
84,mine,3.56
85,hideout,3.83
86,between,2.72
87,aye,2.09
88,south,3.84
89,towards,2.79
90,should,1.53
91,inch,4.37
92,draw,3.97
93,as,1.33
94,forest,4.76
95,bay,4.81
96,creek,4.87
97,back,4.33
99,fort,4.72
100,old,2.72
102,concealed,2.43
103,my,2.42
104,with,2.0
105,abandoned,2.52
106,stone,4.72
107,are,1.96
108,again,2.0
109,eh,1.04
110,get,2.38
111,them,3.04
112,under,3.45
113,across,3.07
114,through,2.9
115,far,2.71
116,north,4.14
118,how,1.35
119,lake,4.88
120,ravine,4.61
122,mean,2.5
123,this,2.14
124,west,3.44
125,level,2.86
126,pole,4.66
127,crane,4.68
128,take,3.06
129,diamond,4.89
131,grove,4.76
132,way,2.34
133,which,1.54
134,mountain,4.96
135,stop,3.68
136,valley,4.72
137,rift,3.4
138,three,3.62
139,village,4.89
140,pyramid,4.96
141,end,3.14
142,half,3.27
143,remote,3.44
144,out,2.73
145,boat,4.93
146,shore,4.79
147,directly,2.37
148,house,5.0
