,Word,Count
0,the,107
1,of,37
2,to,36
3,you,24
4,right,21
5,a,19
6,and,18
7,so,18
8,okay,18
9,down,17
10,i,17
11,it,15
12,go,13
13,going,13
14,up,13
15,then,12
16,have,12
17,got,11
18,above,10
19,no,10
20,past,9
21,yeah,9
22,just,9
23,that,8
24,left,8
25,do,7
26,below,7
27,on,7
28,'s,7
29,at,6
30,fort,6
31,concealed,6
32,about,6
33,along,6
34,well,5
35,straight,5
36,be,4
37,'re,4
38,inches,4
39,two,4
40,what,4
41,mine,4
42,huh,4
43,round,4
44,-,4
45,underneath,4
46,uh,4
47,back,4
48,there,4
49,an,4
50,stone,4
51,pine,4
52,not,4
53,'m,3
54,'ve,3
55,in,3
56,one,3
57,come,3
58,cottage,3
59,now,3
60,by,3
61,n't,3
62,cave,2
63,steps,2
64,this,2
65,across,2
66,rift,2
67,diamond,2
68,banana,2
69,camp,2
70,bar,2
71,cross,2
72,slightly,2
73,or,2
74,as,2
75,forest,2
76,carved,2
77,continue,2
78,buffalo,2
79,trout,2
80,flat,2
81,your,2
82,turn,2
83,inch,2
84,bakery,2
85,want,2
86,forge,2
87,south,2
88,should,2
89,stones,2
90,see,2
91,bottom,2
92,think,2
93,where,2
94,over,2
95,under,2
96,way,2
97,creek,2
98,start,2
99,them,2
100,end,2
101,mmhmm,1
102,less,1
103,coming,1
104,lake,1
105,pole,1
106,ghost,1
107,town,1
108,er,1
109,hot,1
110,manned,1
111,take,1
112,again,1
113,cattle,1
114,slabs,1
115,pyramid,1
116,until,1
117,lost,1
118,oh,1
119,more,1
120,edge,1
121,map,1
122,is,1
123,meant,1
124,gold,1
125,remote,1
126,noose,1
127,from,1
128,towards,1
129,"""",1
130,much,1
131,any,1
132,aye,1
133,abandoned,1
134,mill,1
135,only,1
136,through,1
137,top,1
138,fast,1
139,comes,1
140,bypass,1
141,vertically,1
142,warehouse,1
143,stream,1
144,boat,1
145,ehm,1
146,yes,1
147,tree,1
148,rope,1
149,level,1
150,with,1
151,washed,1
152,saloon,1
153,wagon,1
154,'ll,1
155,me,1
156,bit,1
157,indian,1
158,gallows,1
159,side,1
160,corner,1
