,Word,Conc.M
0,the,1.43
1,of,1.67
2,to,1.55
3,you,4.11
4,right,3.47
5,a,1.46
6,and,1.52
7,so,1.42
8,okay,1.89
9,down,3.52
11,it,2.81
12,go,3.15
13,going,2.69
14,up,3.83
15,then,1.44
16,have,2.18
17,got,1.93
18,above,3.33
19,no,2.45
20,past,1.7
21,yeah,1.89
22,just,1.52
23,that,1.54
24,left,3.7
25,do,2.46
26,below,3.45
27,on,3.25
29,at,2.07
30,fort,4.72
31,concealed,2.43
32,about,1.77
33,along,2.14
34,well,3.33
35,straight,2.76
36,be,1.85
39,two,4.18
40,what,2.0
41,mine,3.56
42,huh,1.68
43,round,3.9
45,underneath,3.71
47,back,4.33
48,there,2.2
49,an,1.46
50,stone,4.72
51,pine,4.37
52,not,2.08
55,in,3.0
56,one,3.97
57,come,2.72
58,cottage,4.85
59,now,1.48
60,by,1.55
62,cave,4.96
63,steps,4.39
64,this,2.14
65,across,3.07
66,rift,3.4
67,diamond,4.89
68,banana,5.0
69,camp,4.35
70,bar,4.67
71,cross,4.44
72,slightly,1.79
73,or,1.72
74,as,1.33
75,forest,4.76
77,continue,2.36
78,buffalo,4.83
79,trout,4.72
80,flat,4.07
81,your,2.37
82,turn,3.44
83,inch,4.37
84,bakery,4.83
85,want,1.93
86,forge,4.04
87,south,3.84
88,should,1.53
90,see,3.21
91,bottom,4.25
92,think,2.41
93,where,1.66
94,over,2.46
95,under,3.45
96,way,2.34
97,creek,4.87
98,start,2.71
99,them,3.04
100,end,3.14
102,less,2.77
103,coming,2.07
104,lake,4.88
105,pole,4.66
106,ghost,3.19
107,town,4.64
109,hot,4.31
110,manned,3.52
111,take,3.06
112,again,2.0
113,cattle,4.64
115,pyramid,4.96
116,until,1.33
117,lost,2.67
118,oh,1.48
119,more,2.37
120,edge,4.24
121,map,4.93
122,is,1.59
123,meant,1.5
124,gold,4.81
125,remote,3.44
126,noose,4.52
127,from,1.84
128,towards,2.79
130,much,1.69
131,any,1.72
132,aye,2.09
133,abandoned,2.52
134,mill,4.72
135,only,2.41
136,through,2.9
137,top,3.93
138,fast,3.32
139,comes,2.27
140,bypass,3.5
141,vertically,3.63
142,warehouse,4.69
143,stream,4.5
144,boat,4.93
146,yes,2.14
147,tree,5.0
148,rope,4.93
149,level,2.86
150,with,2.0
151,washed,4.0
152,saloon,4.68
153,wagon,4.89
155,me,4.33
156,bit,3.27
158,gallows,4.35
159,side,3.68
160,corner,4.61
