,Word,Conc.M
2,you,4.11
3,it,2.81
5,the,1.43
6,know,1.68
8,a,1.46
9,that,1.54
10,and,1.52
12,yeah,1.89
13,to,1.55
14,do,2.46
15,have,2.18
16,in,3.0
17,they,2.93
18,of,1.67
19,we,3.08
20,think,2.41
21,but,2.04
22,is,1.59
23,was,1.69
25,like,1.89
26,so,1.42
27,well,3.33
28,oh,1.48
29,not,2.08
30,right,3.47
31,what,2.0
33,are,1.96
34,just,1.52
35,be,1.85
36,for,1.63
37,good,1.64
38,he,3.93
39,there,2.2
40,about,1.77
41,mean,2.5
42,would,1.12
43,she,3.36
44,my,2.42
46,been,1.92
48,really,1.44
49,on,3.25
50,had,1.77
51,get,2.38
53,people,4.82
54,if,1.19
55,no,2.45
56,this,2.14
57,them,3.04
58,lot,3.7
59,going,2.69
60,when,1.6
61,out,2.73
62,can,4.55
63,all,2.27
64,see,3.21
65,one,3.97
66,how,1.35
67,yes,2.14
68,with,2.0
69,an,1.46
70,dog,4.85
72,were,1.48
73,because,1.22
74,up,3.83
75,did,2.45
76,go,3.15
77,love,2.07
78,nice,2.18
79,cat,4.86
80,new,2.81
81,money,4.54
82,car,4.89
83,year,3.25
84,then,1.44
85,more,2.37
86,want,1.93
87,too,1.7
88,guess,2.28
89,should,1.53
90,at,2.07
91,sure,1.73
92,time,3.07
93,same,2.64
94,or,1.72
95,pretty,2.4
96,where,1.66
97,feel,2.28
98,bad,1.68
100,home,4.11
101,two,4.18
102,could,1.34
103,school,4.79
104,food,4.8
105,live,3.57
106,stuff,3.13
107,okay,1.89
108,her,3.0
109,back,4.33
110,went,2.25
111,house,5.0
112,appeal,1.73
113,very,1.43
114,why,1.86
115,problem,2.68
116,here,3.13
118,big,3.66
119,place,3.48
120,last,3.04
121,water,5.0
122,never,1.59
123,from,1.84
124,true,1.7
125,huh,1.68
127,most,2.38
128,thing,3.17
129,recycling,3.25
130,some,2.48
131,said,2.97
132,used,2.64
133,watch,4.61
134,does,2.24
135,reunion,3.22
136,jury,4.64
137,any,1.72
138,works,3.79
140,child,4.78
141,golden,3.12
143,great,1.81
144,crime,3.03
145,family,4.23
146,company,4.11
147,read,3.56
148,use,2.78
149,middle,3.69
150,than,1.69
151,sugar,4.87
152,story,3.3
153,made,2.52
154,country,4.17
155,make,2.67
157,who,1.74
158,part,3.29
159,say,2.58
160,power,2.04
161,guilty,2.36
162,guy,4.68
163,cart,4.89
165,name,3.5
166,done,2.0
167,work,3.48
168,got,1.93
169,him,3.54
170,fun,1.97
171,long,3.18
172,music,4.31
174,expensive,3.13
177,news,3.41
178,hate,1.97
179,anything,1.38
181,shepherd,4.67
182,remember,2.41
183,retriever,4.15
184,won,2.96
185,grapevine,4.69
186,enjoy,2.29
187,farm,4.59
188,own,1.96
189,week,3.48
190,fish,5.0
191,talk,4.07
192,different,1.97
193,day,3.92
194,deer,4.86
195,stick,4.59
196,agree,2.31
197,much,1.69
199,pay,3.54
201,other,2.04
202,penalty,2.86
203,cut,4.55
204,grow,3.03
207,cook,4.32
208,pet,4.71
209,river,4.89
210,death,3.73
211,lemon,5.0
212,job,3.19
213,actually,1.37
214,next,2.56
215,always,1.71
216,something,1.82
217,care,2.33
218,worst,1.54
220,drug,4.48
221,away,2.23
222,every,2.28
223,married,2.82
224,play,3.24
225,computer,4.93
226,born,3.22
227,vote,3.85
