,Word,Count
0,a,2061
1,the,1837
2,you,1528
3,it,1193
4,do,1149
5,to,942
6,not,878
7,that,827
8,have,744
9,of,694
10,in,621
11,is,513
12,they,454
13,and,413
14,are,408
15,what,400
16,was,372
17,just,340
18,but,319
19,be,306
20,we,286
21,so,260
22,for,248
23,about,228
24,can,210
25,been,202
26,get,177
27,ca,173
28,he,171
29,if,155
30,with,145
31,really,144
32,there,141
33,this,139
34,how,132
35,my,128
36,on,124
37,go,121
38,would,119
39,no,115
40,one,112
41,say,108
42,did,107
43,them,105
44,who,103
45,from,98
46,see,98
47,your,96
48,same,90
49,all,89
50,only,88
51,i,88
52,she,87
53,any,86
54,am,85
55,had,84
56,never,84
57,out,79
58,were,78
59,me,77
60,then,71
61,why,68
62,ever,66
63,an,63
64,could,61
65,still,59
66,most,58
67,even,58
68,much,56
69,too,56
70,back,54
71,should,52
72,more,52
73,very,49
74,here,49
75,well,48
76,as,48
77,few,47
78,other,47
79,because,47
80,up,47
81,being,46
82,some,46
83,than,46
84,at,45
85,make,45
86,or,44
87,doing,41
88,has,38
89,first,36
90,when,36
91,many,34
92,now,34
93,anything,34
94,while,33
95,does,32
96,her,29
97,around,28
98,part,28
99,done,28
100,always,28
101,by,26
102,two,26
103,something,24
104,last,24
105,where,24
106,own,23
107,used,23
108,since,19
109,will,19
110,him,18
111,their,18
112,whole,17
113,between,17
114,those,16
115,before,16
116,also,16
117,put,15
118,made,15
119,name,14
120,over,14
121,both,14
122,down,14
123,take,13
124,serious,13
125,give,12
126,call,11
127,next,11
128,alone,11
129,his,11
130,though,10
131,rather,10
132,off,10
133,us,9
134,keep,9
135,might,9
136,side,9
137,again,9
138,into,8
139,show,8
140,six,8
141,anyone,8
142,our,7
143,using,7
144,everyone,7
145,five,7
146,move,7
147,someone,7
148,already,7
149,together,7
150,three,6
151,each,6
152,enough,6
153,without,6
154,amount,6
155,another,5
156,mostly,5
157,less,5
158,four,5
159,full,5
160,against,5
161,through,4
162,every,4
163,yet,4
164,such,4
165,hundred,4
166,top,4
167,else,4
168,yourself,3
169,nothing,3
170,least,3
171,nowhere,3
172,almost,3
173,ten,3
174,these,3
175,others,3
176,after,3
177,twelve,3
178,myself,3
179,per,2
180,whatever,2
181,sometimes,2
182,seem,2
183,quite,2
184,fifty,2
185,once,2
186,which,2
187,anyway,2
188,must,2
189,mine,2
190,themselves,2
191,third,2
192,everywhere,2
193,itself,1
194,eight,1
195,please,1
196,forty,1
197,everything,1
198,bottom,1
199,nine,1
200,unless,1
201,either,1
202,across,1
203,along,1
204,therefore,1
205,front,1
206,often,1
207,until,1
208,yours,1
209,its,1
210,several,1
211,during,1
212,seems,1
213,latter,1
