,Word,Conc.M
3,you,4.11
5,and,1.52
6,it,2.81
7,the,1.43
8,that,1.54
9,know,1.68
10,a,1.46
11,to,1.55
13,do,2.46
14,yeah,1.89
15,of,1.67
16,in,3.0
17,they,2.93
18,have,2.18
20,but,2.04
21,well,3.33
22,think,2.41
24,like,1.89
25,we,3.08
26,is,1.59
27,huh,1.68
28,so,1.42
29,was,1.69
30,right,3.47
31,for,1.63
32,just,1.52
33,oh,1.48
34,be,1.85
35,with,2.0
36,if,1.19
37,or,1.72
38,not,2.08
39,there,2.2
40,are,1.96
42,on,3.25
43,really,1.44
45,about,1.77
46,my,2.42
47,what,2.0
48,would,1.12
50,get,2.38
51,them,3.04
52,people,4.82
53,mean,2.5
54,because,1.22
55,when,1.6
56,out,2.73
57,one,3.97
58,all,2.27
59,up,3.83
60,no,2.45
61,kind,2.07
62,had,1.77
63,at,2.07
64,good,1.64
65,then,1.44
66,now,1.48
67,see,3.21
68,can,4.55
69,okay,1.89
70,lot,3.7
71,this,2.14
72,go,3.15
73,going,2.69
74,too,1.7
75,he,3.93
77,she,3.36
78,some,2.48
79,more,2.37
80,from,1.84
81,year,3.25
82,got,1.93
83,here,3.13
84,something,1.82
85,how,1.35
86,our,1.97
87,time,3.07
88,much,1.69
90,been,1.92
91,did,2.45
92,two,4.18
93,guess,2.28
94,thing,3.17
95,yes,2.14
96,pay,3.54
97,nice,2.18
98,as,1.33
99,want,1.93
100,were,1.48
101,take,3.06
102,other,2.04
103,home,4.11
104,an,1.46
105,money,4.54
106,probably,1.73
107,where,1.66
108,make,2.67
109,sure,1.73
110,me,4.33
111,back,4.33
112,work,3.48
113,could,1.34
114,their,3.34
115,talking,3.72
116,care,2.33
117,put,2.5
118,even,2.79
121,school,4.79
122,dog,4.85
123,family,4.23
124,new,2.81
125,him,3.54
126,pretty,2.4
127,country,4.17
128,kids,4.61
129,house,5.0
130,little,3.67
131,stuff,3.13
132,bye,2.25
134,your,2.37
135,way,2.34
136,true,1.7
137,state,3.52
138,four,3.37
140,company,4.11
141,used,2.64
142,course,3.82
143,great,1.81
145,end,3.14
146,her,3.0
147,live,3.57
148,three,3.62
149,any,1.72
150,doing,2.66
151,anything,1.38
152,never,1.59
153,always,1.71
155,very,1.43
156,still,3.46
157,news,3.41
159,than,1.69
160,children,4.89
161,who,1.74
163,those,2.32
164,cat,4.86
165,read,3.56
166,car,4.89
167,into,2.3
168,day,3.92
169,use,2.78
170,big,3.66
171,own,1.96
172,jury,4.64
173,six,3.43
174,child,4.78
175,bad,1.68
176,feel,2.28
177,person,4.72
178,say,2.58
179,does,2.24
180,system,2.94
181,first,2.76
182,cook,4.32
183,down,3.52
184,place,3.48
185,said,2.97
186,went,2.25
187,last,3.04
188,off,2.79
189,give,2.83
190,job,3.19
193,kid,4.56
194,room,4.79
195,hundred,3.2
196,by,1.55
197,whole,3.25
198,many,2.37
199,love,2.07
200,pet,4.71
201,fish,5.0
202,actually,1.37
204,different,1.97
205,same,2.64
206,long,3.18
207,music,4.31
208,crime,3.03
211,remember,2.41
212,talk,4.07
214,play,3.24
215,these,2.03
216,buy,3.35
217,eighty,3.41
218,public,2.57
219,college,4.62
220,bit,3.27
221,listen,3.47
222,enough,1.33
223,punishment,2.46
224,tax,3.89
225,eight,4.04
226,city,4.79
227,watch,4.61
228,around,1.96
229,every,2.28
230,start,2.71
231,summer,3.64
232,either,1.81
233,ten,3.39
234,football,4.73
235,before,1.96
236,fun,1.97
237,better,1.91
238,season,3.32
239,getting,2.07
242,real,2.5
244,done,2.0
245,high,3.46
246,nursing,3.76
247,being,1.93
248,drug,4.48
249,once,2.74
251,recycling,3.25
252,seven,3.72
253,gun,4.83
254,deterrent,2.63
255,area,3.72
256,tough,2.5
257,working,3.48
258,best,1.6
259,leave,2.53
260,penalty,2.86
261,weather,3.83
262,also,1.83
264,sports,3.79
265,should,1.53
267,through,2.9
269,health,2.28
270,paying,3.64
271,triangle,4.52
273,interesting,1.6
276,maybe,1.52
277,milk,4.92
278,dogs,5.0
279,which,1.54
280,whatever,1.46
281,over,2.46
283,am,1.96
284,applied,1.96
285,though,1.2
287,while,1.55
288,food,4.8
289,percentage,2.9
291,hi,2.67
292,list,4.43
293,plea,2.39
294,wonderful,1.82
295,salad,4.97
296,help,2.56
298,october,2.81
302,thousand,3.08
304,air,4.11
307,rain,4.97
308,thanks,2.15
309,cold,3.85
310,coming,2.07
311,look,2.96
312,government,2.88
314,spaghetti,5.0
315,garden,4.73
317,both,2.97
318,bought,2.96
319,perfect,1.69
320,radio,4.74
321,married,2.82
322,topic,2.59
323,power,2.04
324,easy,2.07
325,come,2.72
326,raised,2.86
328,golden,3.12
329,related,2.56
331,twelve,3.61
333,movie,4.59
334,everybody,3.13
335,favorite,2.71
336,consider,1.68
337,week,3.48
338,times,2.07
339,part,3.29
340,beautiful,2.16
341,far,2.71
342,credit,2.71
343,war,3.63
344,aluminum,4.88
345,paper,4.93
346,five,3.87
347,income,3.07
348,supposed,1.6
349,small,3.22
350,difference,2.15
351,death,3.73
352,winter,3.84
353,half,3.27
355,stick,4.59
356,shift,2.81
357,solution,2.61
358,life,2.69
359,cornstarch,4.56
360,ride,3.75
361,old,2.72
363,walk,4.07
364,refrigerator,5.0
365,lower,2.76
366,grew,3.52
368,problem,2.68
369,camping,4.0
371,will,2.64
372,everything,2.3
373,party,3.89
375,baseball,4.86
377,vote,3.85
378,hand,4.72
379,needs,2.25
380,find,2.63
382,sales,2.86
383,certain,1.68
385,random,2.0
386,band,4.68
387,red,4.24
388,almost,1.66
390,simply,1.83
391,swimming,4.44
392,believe,1.55
393,sort,3.34
394,computer,4.93
395,mail,4.69
396,again,2.0
398,county,4.04
399,lived,2.38
400,thirty,3.75
401,north,4.14
402,hunting,3.96
403,fifteen,3.37
404,miles,3.61
405,boy,4.76
406,dye,4.58
407,social,2.27
408,farm,4.59
409,smith,3.81
410,need,1.69
411,somebody,3.79
412,idea,1.61
415,cheese,4.7
416,dress,4.93
418,sometimes,1.77
419,cause,2.43
420,golf,4.52
421,cart,4.89
422,mound,4.63
423,revenue,3.11
425,education,2.93
426,saucepan,4.67
427,fondue,4.79
428,shooting,3.85
430,fan,4.71
431,rice,4.86
432,service,2.21
433,microwave,4.34
434,insurance,2.86
437,guilty,2.36
438,less,2.77
439,appeal,1.73
440,anyway,1.68
441,reason,1.93
442,freedom,2.34
443,speech,3.37
444,rooms,4.57
445,typical,1.52
446,community,3.52
447,important,2.14
449,together,2.74
452,story,3.3
453,reunion,3.22
454,close,3.2
455,effort,2.33
456,hard,3.76
457,river,4.89
459,spot,4.21
461,salary,3.69
462,point,3.39
463,forced,2.25
464,garage,4.96
465,world,4.36
466,personally,2.07
467,injection,3.86
468,name,3.5
473,hot,4.31
474,spend,2.93
475,most,2.38
477,smog,4.14
479,learned,2.46
480,chicken,4.8
481,eat,4.44
482,afford,1.83
483,usually,2.04
484,retriever,4.15
487,credibility,2.29
488,forty,4.14
490,luck,1.33
491,travel,3.67
492,september,3.81
494,anywhere,2.21
495,flooding,4.38
496,nothing,2.21
498,barrier,4.41
499,nine,4.04
500,living,3.04
501,vacation,3.14
502,diving,4.13
503,let,2.26
504,ours,1.81
505,skunk,4.88
507,l,3.13
508,train,4.79
509,keep,2.37
510,fast,3.32
511,park,4.74
512,yellow,4.3
513,nights,4.41
514,offense,2.03
515,familiar,2.03
516,guy,4.68
517,goes,2.19
520,local,3.04
521,circumstances,1.59
522,danger,2.68
523,potato,4.85
524,flat,4.07
525,space,3.54
526,bike,5.0
527,waiting,2.7
528,prison,4.68
529,bedroom,4.9
530,swim,4.43
532,law,2.57
533,jazz,3.9
534,afraid,2.7
536,husband,4.11
537,memorial,3.68
538,program,3.43
539,capital,4.1
540,curbside,4.17
541,ball,5.0
543,behind,3.48
544,dad,4.29
545,eleven,3.93
547,anymore,2.04
548,east,3.04
550,cheers,3.48
551,man,4.79
552,newspaper,4.82
553,why,1.86
554,saw,4.46
555,whether,1.59
559,piano,4.9
560,tank,4.8
561,rat,4.85
562,moody,2.36
563,question,3.36
564,blues,2.31
565,physics,3.07
566,hello,2.8
567,call,4.0
569,girl,4.85
570,criminal,3.48
571,testing,3.43
572,trying,2.11
573,dinner,4.5
576,tested,3.0
577,information,2.87
579,box,4.9
580,spoiled,2.46
581,trial,3.07
582,neat,2.47
583,toy,4.93
584,calico,4.04
585,mustang,4.89
586,cruel,2.11
587,freshman,3.79
590,tonight,2.93
592,fox,4.97
593,losing,2.28
595,hostile,2.62
596,set,3.41
597,legend,2.96
598,bargaining,2.76
599,incredible,1.93
600,cable,4.74
602,night,4.52
604,channel,4.18
606,chemicals,4.14
607,fixed,2.89
608,dry,3.77
609,cost,2.5
610,successful,2.07
612,wow,1.48
613,planet,4.58
