,Word,Count
0,I,5915
1,'s,2858
2,uh,2443
3,know,2192
4,Uh,1837
5,huh,1580
6,Yeah,1534
7,n't,1502
8,like,1029
9,think,915
10,And,831
11,'re,749
12,Oh,686
13,Well,575
14,people,499
15,Right,480
16,'m,472
17,'ve,466
18,um,436
19,lot,428
20,yeah,417
21,mean,396
22,But,381
23,So,380
24,It,351
25,good,350
26,kind,346
27,That,342
28,got,329
29,going,324
30,right,321
31,time,304
32,things,289
33,You,272
34, ,268
35,little,233
36,thing,218
37,guess,216
38,'ll,201
39,Um,193
40,Yes,190
41,year,188
42,work,185
43,We,181
44,They,180
45,years,179
46,want,177
47,way,173
48,real,170
49,pretty,167
50,probably,160
51,home,146
52,No,146
53,'d,143
54,sure,142
55,nice,139
56,money,135
57,actually,128
58,stuff,127
59,oh,126
60,kids,126
61,Okay,119
62,family,117
63,maybe,115
64,great,111
65,said,111
66,feel,108
67,sort,108
68,day,108
69,come,108
70,big,108
71,went,107
72,different,106
73,Huh,106
74,pay,105
75,house,101
76,getting,100
77,course,99
78,school,95
79,okay,92
80,children,91
81,place,90
82,The,90
83,bit,90
84,use,89
85,true,86
86,somebody,84
87,husband,84
88,long,83
89,bad,83
90,care,83
91,talking,82
92,old,82
93,let,81
94,look,79
95,live,79
96,thought,78
97,person,76
98,having,74
99,car,73
100,problem,72
101,better,72
102,need,71
103,try,70
104,What,70
105,hard,68
106,There,68
107,heard,67
108,interesting,67
109,area,66
110,ago,65
111,far,65
112,fun,65
113,away,65
114,Because,64
115,find,64
116,Do,63
117,point,63
118,job,63
119,My,63
120,half,63
121,play,63
122,country,63
123,love,62
124,dog,62
125,start,62
126,life,62
127,dollars,61
128,week,60
129,trying,60
130,college,59
131,times,58
132,A,58
133,C,58
134,wonderful,57
135,cats,57
136,usually,57
137,Texas,56
138,T,56
139,guy,56
140,saying,56
141,Sure,55
142,remember,55
143,read,55
144,started,54
145,believe,54
146,Really,54
147,yes,54
148,If,53
149,buy,53
150,jury,53
151,company,52
152,high,52
153,fact,52
154,couple,52
155,everybody,51
156,Dallas,51
157,days,51
158,makes,51
159,news,50
160,talk,50
161,gets,50
162,type,49
163,idea,49
164,came,49
165,She,48
166,Wow,48
167,working,47
168,thousand,47
169,seen,47
170,He,47
171,friend,46
172,spend,45
173,mother,45
174,problems,45
175,tell,45
176,system,44
177,certain,44
178,places,44
179,night,43
180,parents,43
181,bye,43
182,seven,43
183,Bye,43
184,state,43
185,help,43
186,wanted,42
187,end,42
188,goes,42
189,wife,42
190,found,41
191,Now,41
192,basically,41
193,death,41
194,able,40
195,punishment,40
196,city,40
197,crime,40
198,watch,40
199,sounds,40
200,eighty,39
201,agree,38
202,understand,38
203,enjoy,38
204,close,38
205,coming,37
206,living,37
207,hear,37
208,friends,37
209,called,36
210,cat,36
211,easy,36
212,especially,36
213,child,36
214,best,36
215,How,35
216,Is,35
217,ones,35
218,small,35
219,N,35
220,new,34
221,looking,34
222,important,34
223,paper,34
224,drug,34
225,gone,34
226,happened,33
227,young,33
228,change,33
229,neat,33
230,boy,32
231,supposed,32
232,worked,32
233,hours,32
234,man,32
235,room,32
236,anymore,31
237,daughter,31
238,Have,31
239,food,31
240,world,30
241,hour,30
242,listen,30
243,Exactly,30
244,thirty,30
245,learn,30
246,summer,30
247,hot,30
248,capital,30
249,reason,29
250,watching,29
251,sit,29
252,works,29
253,enjoyed,29
254,crimes,29
255,business,29
256,Did,29
257,comes,29
258,exactly,28
259,government,28
260,stay,28
261,brother,28
262,outside,28
263,group,28
264,months,28
265,lived,28
266,sense,28
267,New,28
268,certainly,27
269,society,27
270,moved,27
271,tried,27
272,taxes,27
273,paying,27
274,older,27
275,takes,27
276,bought,27
277,thinking,27
278,V,27
279,In,27
280,music,27
281,football,26
282,taking,26
283,decided,26
284,credit,26
285,happens,26
286,health,26
287,cars,26
288,deal,26
289,case,26
290,expensive,26
291,dogs,25
292,took,25
293,paid,25
294,gosh,25
295,town,25
296,law,25
297,happen,25
298,needs,25
299,guilty,25
300,penalty,25
301,eat,25
302,radio,24
303,Like,24
304,bet,24
305,Which,24
306,son,24
307,father,24
308,Or,24
309,book,24
310,drive,24
311,B,24
312,major,24
313,God,24
314,says,24
315,question,24
316,percent,24
317,computer,24
318,wants,24
319,gotten,24
320,education,24
321,kid,23
322,community,23
323,countries,23
324,story,23
325,cook,23
326,fish,23
327,kinds,23
328,water,23
329,number,22
330,funny,22
331,weather,22
332,difference,22
333,large,22
334,Are,22
335,lives,22
336,insurance,22
337,fairly,22
338,making,22
339,tough,22
340,minutes,22
341,murder,22
342,vote,22
343,turn,22
344,wait,22
345,matter,22
346,benefits,21
347,recycling,21
348,German,21
349,baby,21
350,trees,21
351,worth,21
352,liked,21
353,Pennsylvania,21
354,tax,21
355,cause,21
356,America,21
357,hand,21
358,trouble,21
359,card,21
360,set,21
361,changes,21
362,This,21
363,Just,21
364,involved,21
365,north,21
366,married,21
367,programs,21
368,game,21
369,miles,21
370,reading,20
371,York,20
372,killed,20
373,early,20
374,lots,20
375,hate,20
376,forth,20
377,sister,20
378,pet,20
379,service,20
380,cost,20
381,beautiful,20
382,built,20
383,See,19
384,absolutely,19
385,second,19
386,wo,19
387,recently,19
388,appeal,19
389,milk,19
390,age,19
391,grew,19
392,trial,19
393,guys,19
394,neighborhood,19
395,garden,19
396,teach,19
397,run,19
398,All,19
399,bring,19
400,girl,19
401,figure,19
402,definitely,19
403,boys,19
404,today,19
405,women,19
406,leave,18
407,rest,18
408,terms,18
409,nursing,18
410,air,18
411,plastic,18
412,Corps,18
413,Peace,18
414,clean,18
415,season,18
416,weeks,18
417,tested,18
418,walk,18
419,drugs,18
420,M,18
421,worry,18
422,difficult,18
423,newspaper,18
424,sentence,18
425,areas,18
426,cans,18
427,sad,18
428,Not,18
429,homes,18
430,Cowboys,18
431,public,18
432,near,18
433,interest,18
434,depends,18
435,caught,17
436,middle,17
437,California,17
438,camping,17
439,gun,17
440,anybody,17
441,saw,17
442,morning,17
443,spent,17
444,Florida,17
445,social,17
446,Yep,17
447,cut,17
448,completely,17
449,wish,17
450,open,17
451,yard,17
452,played,17
453,dad,17
454,send,17
455,woman,17
456,sports,17
457,break,17
458,weekend,17
459,lost,17
460,American,17
461,died,17
462,street,17
463,knew,17
464,companies,17
465,student,17
466,free,16
467,realize,16
468,left,16
469,program,16
470,When,16
471,easier,16
472,vacation,16
473,Washington,16
474,suppose,16
475,helps,16
476,awful,16
477,judge,16
478,interested,16
479,piano,16
480,sell,16
481,decision,16
482,cold,16
483,necessarily,16
484,Of,16
485,travel,16
486,list,16
487,power,16
488,Then,16
489,situation,16
490,line,16
491,costs,16
492,save,16
493,stick,16
494,throw,16
495,Where,16
496,feet,16
497,class,16
498,wonder,16
499,consider,16
500,experience,16
501,sitting,15
502,hope,15
503,prison,15
504,asked,15
505,Christmas,15
506,sisters,15
507,Some,15
508,winter,15
509,needed,15
510,o'clock,15
511,wow,15
512,build,15
513,ready,15
514,price,15
515,pull,15
516,jail,15
517,tickets,15
518,past,15
519,sorry,15
520,running,15
521,afford,15
522,pick,15
523,television,15
524,finally,15
525,ahead,15
526,coverage,15
527,soon,15
528,brought,15
529,reasonable,15
530,cases,15
531,imagine,15
532,bunch,15
533,likes,15
534,building,15
535,gave,15
536,changed,14
537,longer,14
538,war,14
539,hit,14
540,retriever,14
541,rain,14
542,helping,14
543,information,14
544,tend,14
545,center,14
546,team,14
547,ought,14
548,favorite,14
549,lately,14
550,instead,14
551,kill,14
552,personally,14
553,learned,14
554,size,14
555,For,14
556,visit,14
557,word,14
558,reunion,14
559,grow,14
560,jobs,14
561,buying,14
562,S,14
563,Pittsburgh,14
564,inside,14
565,rate,14
566,Sunday,14
567,space,14
568,baseball,14
569,charge,14
570,rid,14
571,income,14
572,stop,14
573,knows,14
574,decide,14
575,putting,14
576,local,14
577,As,13
578,Boy,13
579,grade,13
580,compared,13
581,criminal,13
582,choice,13
583,individual,13
584,Europe,13
585,schools,13
586,People,13
587,amazing,13
588,apartment,13
589,party,13
590,chance,13
591,giving,13
592,handle,13
593,month,13
594,ended,13
595,deer,13
596,told,13
597,fall,13
598,concerned,13
599,sudden,13
600,based,13
601,spending,13
602,plan,13
603,Most,13
604,fast,13
605,growing,13
606,F,13
607,police,13
608,farm,13
609,taken,13
610,chicken,13
611,salary,13
612,Golden,13
613,step,13
614,topic,13
615,dinner,13
616,special,13
617,recycle,13
618,doubt,13
619,support,13
620,regular,13
621,schedule,12
622,twice,12
623,looked,12
624,shot,12
625,dress,12
626,means,12
627,October,12
628,low,12
629,budget,12
630,feeling,12
631,afraid,12
632,east,12
633,legal,12
634,volunteer,12
635,fine,12
636,sound,12
637,terrible,12
638,One,12
639,extent,12
640,learning,12
641,hold,12
642,felt,12
643,black,12
644,Anyway,12
645,church,12
646,process,12
647,issue,12
648,looks,12
649,newspapers,12
650,cities,12
651,men,12
652,talked,12
653,flowers,12
654,forget,12
655,research,12
656,benefit,12
657,starting,12
658,English,12
659,States,12
660,United,12
661,example,12
662,road,12
663,wrong,12
664,gives,12
665,helped,11
666,weight,11
667,movie,11
668,hopefully,11
669,hurt,11
670,waiting,11
671,store,11
672,pounds,11
673,testing,11
674,Course,11
675,happening,11
