,Word,Count
0,and,4071
1,the,3959
2,that,3540
3,you,3520
4,it,3361
5,a,3144
6,to,3085
7,of,2398
8,they,1865
9,in,1742
10,do,1593
11,have,1392
12,we,1277
13,is,1179
14,was,1049
15,just,987
16,for,885
17,but,822
18,so,808
19,on,715
20,or,704
21,really,694
22,there,693
23,be,670
24,not,650
25,are,623
26,my,590
27,what,566
28,if,566
29,with,547
30,would,540
31,them,538
32,about,515
33,all,515
34,he,511
35,one,508
36,had,500
37,get,495
38,because,455
39,this,451
40,at,446
41,out,442
42,when,437
43,up,427
44,then,415
45,some,398
46,as,387
47,go,352
48,well,340
49,can,336
50,from,319
51,she,316
52,too,310
53,did,305
54,now,299
55,been,293
56,something,283
57,were,274
58,more,274
59,much,256
60,here,250
61,your,242
62,see,241
63,their,236
64,me,236
65,very,236
66,how,232
67,could,223
68,where,219
69,other,212
70,an,209
71,our,209
72,no,197
73,say,196
74,two,193
75,has,184
76,does,175
77,who,172
78,back,161
79,any,159
80,her,157
81,than,150
82,even,150
83,put,150
84,take,145
85,make,144
86,into,144
87,those,143
88,by,137
89,never,136
90,ca,135
91,these,128
92,over,128
93,anything,128
94,will,126
95,doing,122
96,down,121
97,still,121
98,three,119
99,always,119
100,around,118
101,which,117
102,used,112
103,his,110
104,many,107
105,off,106
106,should,104
107,same,103
108,him,102
109,five,102
110,everything,101
111,us,99
112,only,97
113,four,96
114,first,92
115,done,87
116,every,85
117,most,82
118,whole,80
119,last,79
120,ever,77
121,before,76
122,whatever,74
123,hundred,73
124,through,73
125,else,72
126,either,70
127,also,69
128,though,69
129,someone,69
130,after,68
131,own,67
132,seems,67
133,ten,63
134,again,63
135,few,61
136,another,61
137,being,60
138,enough,59
139,part,59
140,why,58
141,keep,58
142,give,57
143,made,55
144,might,55
145,sometimes,55
146,while,54
147,twenty,53
148,together,53
149,six,52
150,least,49
151,since,49
152,quite,48
153,am,48
154,almost,46
155,once,46
156,next,46
157,both,46
158,eight,43
159,call,43
160,such,41
161,seem,40
162,until,39
163,nothing,38
164,may,38
165,mine,35
166,whether,35
167,side,34
168,anyway,31
169,less,30
170,during,30
171,everyone,29
172,myself,29
173,without,29
174,each,27
175,yet,27
176,name,27
177,themselves,26
178,already,26
179,along,26
180,nine,25
181,amount,24
182,show,23
183,often,22
184,between,22
185,yourself,21
186,must,21
187,several,21
188,full,21
189,fifty,20
190,forty,20
191,fifteen,20
192,twelve,20
193,top,19
194,using,18
195,against,18
196,rather,17
197,its,17
198,somewhere,17
199,eleven,17
200,front,16
201,although,16
202,anyone,15
203,within,15
204,move,15
205,ours,15
206,nobody,14
207,towards,13
208,itself,13
209,unless,13
210,under,13
211,become,13
212,mostly,12
213,sixty,12
214,anywhere,12
215,behind,11
216,everywhere,11
217,perhaps,11
218,beyond,11
219,except,11
220,alone,10
221,whose,10
222,others,9
223,bottom,9
224,across,9
225,third,9
226,besides,9
227,serious,8
228,herself,8
229,seemed,8
230,himself,8
231,became,7
232,ourselves,6
233,otherwise,6
234,above,6
235,somehow,6
236,toward,6
237,per,5
238,whenever,5
239,various,5
240,upon,5
241,throughout,5
242,yours,5
243,empty,4
244,afterwards,4
245,becomes,4
246,none,3
247,among,3
248,becoming,3
249,whereas,3
250,however,3
251,neither,3
252,due,3
253,whoever,3
254,onto,3
255,sometime,2
256,below,2
257,therefore,1
258,anyhow,1
259,wherever,1
260,thus,1
261,thereafter,1
262,amongst,1
263,nevertheless,1
264,elsewhere,1
265,hers,1
266,thru,1
267,whom,1
268,nowhere,1
269,further,1
270,former,1
