,ID,Tag,Count,Percentage
0,83,ADJ,4240,0.038862003226279515
1,84,ADP,4822,0.04419636310309429
2,85,ADV,6598,0.060474409737498167
3,88,CCONJ,4007,0.03672642616219387
4,89,DET,6082,0.05574497726939434
5,90,INTJ,11182,0.10248936794251357
6,91,NOUN,7017,0.06431478222613286
7,92,NUM,390,0.003574571051473823
8,93,PART,1894,0.01735958351664467
9,94,PRON,13387,0.12269944273353864
10,95,PROPN,821,0.007524930341692331
11,96,PUNCT,30413,0.27875238304736766
12,99,VERB,18071,0.16563095761841912
13,100,X,45,0.0004124505059392873
14,102,SPACE,135,0.0012373515178178618
